danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,liked
0.437,0.257,7,-14.435,1,0.0737,0.453,0,0.0652,0.386,201.802,0
0.568,0.837,4,-5.969,0,0.0555,0.00782,3.19e-06,0.104,0.388,190.237,0
0.678,0.562,3,-9.197,0,0.508,0.193,0,0.104,0.566,94.241,1
0.688,0.425,4,-8.134,0,0.027,0.748,0.00548,0.101,0.179,129.975,1
0.749,0.67,2,-6.907,1,0.0905,0.204,0,0.472,0.367,119.973,0
0.716,0.611,2,-4.834,1,0.264,0.0657,0,0.298,0.337,167.983,0
0.622,0.584,0,-7.891,1,0.122,0.0628,0.000152,0.119,0.545,158.276,1
0.859,0.423,1,-10.698,0,0.283,0.543,0,0.104,0.563,125.89,1
0.854,0.68,8,-7.361,1,0.321,0.0827,9.21e-06,0.15,0.899,155.084,0
0.678,0.355,10,-7.757,0,0.0627,0.759,7.06e-05,0.114,0.438,119.772,1
0.478,0.546,5,-8.59,1,0.354,0.26,0,0.0951,0.373,79.237,1
0.719,0.626,8,-9.351,1,0.397,0.0607,0,0.0728,0.179,75.032,1
0.728,0.859,5,-5.237,0,0.137,0.0401,0,0.111,0.535,65.043,0
0.737,0.625,11,-5.861,1,0.0664,0.0596,8.3e-06,0.12,0.419,99.873,0
0.796,0.607,6,-10.215,0,0.103,0.182,0,0.182,0.76,110.939,0
0.849,0.719,10,-2.552,0,0.168,0.388,2.62e-05,0.035,0.412,129.701,0
0.752,0.489,1,-5.233,1,0.137,0.11,3.57e-06,0.202,0.373,108.005,1
0.79,0.714,1,-7.86,0,0.202,0.00142,0,0.111,0.559,150.033,0
0.386,0.534,5,-6.086,0,0.0389,0.129,0,0.351,0.343,110.057,1
0.552,0.731,7,-6.873,1,0.615,0.0536,0,0.258,0.632,174.516,1
0.786,0.828,9,-5.124,0,0.0561,0.047,0.000753,0.0781,0.897,152.001,0
0.763,0.541,1,-8.979,1,0.0675,0.264,0,0.298,0.276,125.007,0
0.669,0.541,4,-11.291,0,0.0461,0.0992,7.69e-06,0.254,0.645,89.083,1
0.901,0.587,10,-8.317,0,0.0596,0.136,0,0.0867,0.336,130.001,0
0.684,0.889,8,-4.555,0,0.102,0.0307,2.57e-06,0.775,0.582,112.004,0
0.582,0.912,9,-5.637,1,0.432,0.32,0,0.0931,0.515,87.931,1
0.829,0.527,6,-6.644,0,0.367,0.482,0,0.631,0.475,116.079,1
0.881,0.611,6,-6.827,0,0.341,0.382,0,0.0585,0.894,153.197,0
0.815,0.614,0,-7.813,1,0.169,0.0799,0,0.111,0.658,149.88,0
0.461,0.62,0,-9.822,1,0.496,0.321,0,0.151,0.422,153.941,1
0.655,0.833,10,-2.302,1,0.043,0.115,0,0.363,0.497,119.958,0
0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913,1
0.727,0.469,1,-14.946,0,0.337,0.552,0.009,0.11,0.147,139.851,0
0.599,0.686,8,-5.951,1,0.0422,0.0177,0.00105,0.0929,0.663,148.009,1
0.567,0.463,6,-11.669,0,0.504,0.732,0,0.709,0.324,126.982,1
0.673,0.463,2,-7.247,1,0.191,0.681,4.9e-06,0.0907,0.268,147.981,1
0.466,0.548,5,-9.362,0,0.118,0.42,1.01e-06,0.113,0.423,89.815,1
0.597,0.291,1,-13.483,0,0.0576,0.255,1.9e-05,0.108,0.09,87.082,1
0.597,0.551,1,-6.727,1,0.0291,0.227,0,0.0847,0.349,87.028,0
0.733,0.785,11,-6.307,1,0.351,0.0126,9.46e-05,0.167,0.77,166.13,0
0.161,0.327,1,-8.059,0,0.0341,0.00632,0.792,0.138,0.0815,135.382,1
0.389,0.507,11,-9.026,1,0.0621,0.259,0.0441,0.142,0.364,74.718,1
0.789,0.585,1,-6.029,1,0.141,0.0123,3.29e-06,0.0743,0.508,97.083,0
0.8,0.585,10,-7.343,1,0.0924,0.264,0,0.153,0.779,126.058,1
0.808,0.511,1,-7.416,1,0.0989,0.253,0,0.0989,0.411,104.007,0
0.524,0.364,7,-10.209,1,0.0367,0.808,0,0.1,0.436,75.24,1
0.448,0.263,11,-11.98,1,0.0373,0.824,1.91e-06,0.106,0.451,109.889,1
0.789,0.742,10,-5.664,0,0.0652,0.0681,0,0.166,0.661,116.965,0
0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,0
0.901,0.715,11,-4.96,1,0.259,0.173,0,0.308,0.9,127.025,0
0.85,0.499,1,-5.184,1,0.0766,0.108,0.000355,0.116,0.168,100.006,0
0.326,0.331,5,-10.053,1,0.0345,0.676,0,0.0972,0.141,108.802,1
0.889,0.838,10,0.992,0,0.21,0.0643,0,0.118,0.715,132.057,0
0.696,0.759,1,-4.783,1,0.0581,0.423,0,0.0388,0.514,86.995,0
0.738,0.485,11,-7.503,0,0.22,0.0406,0,0.0945,0.41,133.027,0
0.828,0.794,11,-4.802,1,0.0436,0.00942,0.145,0.413,0.847,115.013,0
0.527,0.494,0,-6.606,1,0.088,0.049,2.76e-06,0.091,0.374,129.555,1
0.279,0.288,5,-13.497,0,0.0388,0.468,0,0.356,0.0699,87.676,1
0.707,0.238,3,-8.818,1,0.0379,0.0905,2.42e-06,0.0842,0.345,124.156,1
0.96,0.71,7,-5.717,1,0.214,0.0532,0,0.148,0.749,123.029,0
0.743,0.683,9,-6.781,0,0.0342,0.0404,2.33e-05,0.0608,0.574,99.997,0
0.676,0.838,8,-5.813,1,0.0713,0.258,0,0.219,0.576,99.957,0
0.624,0.729,1,-4.747,1,0.198,0.415,0,0.135,0.334,87.948,1
0.837,0.506,7,-5.729,0,0.188,0.255,0,0.131,0.621,93.025,0
0.812,0.461,0,-13.094,1,0.308,0.0112,0,0.108,0.598,130.025,0
